loglambda,logmean,s_logmean,logBAL,s_logBAL,logNonBAL,s_logNonBAL,logWeak,s_logWeak,logNonWeak,s_logNonWeak
 0.08,44.92, 0.03, 44.63,  0.06, 44.87,  0.05, 44.63,  0.07, 44.63,  0.07
 0.10,44.92, 0.03, 44.62,  0.06, 44.86,  0.05, 44.63,  0.07, 44.63,  0.07
 0.12,44.91, 0.03, 44.62,  0.06, 44.86,  0.05, 44.62,  0.07, 44.62,  0.07
 0.14,44.91, 0.03, 44.61,  0.06, 44.86,  0.05, 44.62,  0.07, 44.62,  0.07
 0.16,44.91, 0.03, 44.61,  0.06, 44.85,  0.05, 44.62,  0.07, 44.62,  0.07
 0.18,44.90, 0.03, 44.60,  0.06, 44.85,  0.05, 44.61,  0.07, 44.61,  0.07
 0.20,44.90, 0.03, 44.60,  0.06, 44.85,  0.05, 44.61,  0.07, 44.61,  0.07
 0.22,44.90, 0.03, 44.60,  0.06, 44.84,  0.05, 44.61,  0.07, 44.61,  0.07
 0.24,44.89, 0.03, 44.59,  0.06, 44.84,  0.05, 44.60,  0.07, 44.60,  0.07
 0.26,44.89, 0.03, 44.59,  0.06, 44.84,  0.05, 44.60,  0.07, 44.60,  0.07
 0.28,44.88, 0.03, 44.58,  0.06, 44.83,  0.05, 44.60,  0.07, 44.60,  0.07
 0.30,44.88, 0.03, 44.58,  0.06, 44.83,  0.05, 44.59,  0.07, 44.59,  0.07
 0.32,44.88, 0.03, 44.57,  0.06, 44.83,  0.05, 44.59,  0.07, 44.59,  0.07
 0.34,44.87, 0.04, 44.57,  0.06, 44.82,  0.05, 44.59,  0.07, 44.59,  0.07
 0.36,44.87, 0.04, 44.57,  0.06, 44.82,  0.05, 44.58,  0.07, 44.58,  0.07
 0.38,44.87, 0.04, 44.56,  0.06, 44.82,  0.06, 44.58,  0.07, 44.58,  0.07
 0.40,44.86, 0.04, 44.56,  0.06, 44.81,  0.06, 44.58,  0.07, 44.58,  0.07
 0.42,44.86, 0.04, 44.55,  0.06, 44.81,  0.06, 44.57,  0.07, 44.57,  0.07
